normalized,total_count,num_variants,variants_with_counts
gemma_2_9b,85,8,Gemma-2-9B (44); Gemma2-9B (21); Gemma 2 9B (10); Gemma-2 9B (5); Gemma2 9B (2); Gemma-2-9b (1); Gemma2-9b (1); SahabatAI v1 Instruct (Gemma2 9B) (1)
gpt_2_medium,85,6,GPT-2-medium (32); GPT-2 Medium (24); GPT-2 medium (13); GPT2-medium (9); GPT-2-Medium (6); gpt2-medium (1)
seq_2seq,84,5,Seq2Seq (61); seq2seq (11); SEQ2SEQ (7); Seq2seq (4); Unsupervised Paraphrase Model (Seq2Seq) (1)
roberta_base,83,9,RoBERTa-base (69); RoBERTa-Base (5); RoBERTa-BASE (3); GECToR (RoBERTa-base) (1); ROBERTA-BASE (1); ROBERTA-base (1); RoBERTa Base (1); RoBERTa base (1); roberta-base (1)
mt_5,80,2,mT5 (75); MT5 (5)
mistral_7b_instruct_v_0.2,78,6,Mistral-7B-Instruct-v0.2 (69); Mistral 7B Instruct v0.2 (4); Mistral-7b-instruct-v0.2 (2); Mistral-7B-Instruct-V0.2 (1); Mistral-7B-instruct-v0.2 (1); Mistral-7b-Instruct-v0.2 (1)
mistral_7b_instruct,77,6,Mistral-7B-Instruct (56); Mistral 7B Instruct (10); Mistral-7B-instruct (5); Mistral-7b-Instruct (4); MISTRAL-7B-INSTRUCT (1); Mistral-7b-instruct (1)
llama_2_70b_chat,76,18,Llama-2-70B-Chat (16); Llama-2-70B-chat (9); Llama-2-70b-chat (9); LLaMA-2-70B-Chat (7); Llama2-70B-Chat (7); Llama2-70B-chat (5); LLaMA2-70B-Chat (4); Llama2-70b-chat (4); LLaMA-2-70B-chat (3); Llama 2 70B Chat (3); LLaMA-2-70b-chat (2); LLAMA-2-70B-CHAT (1); LLAMA2-70B-CHAT (1); LLaMA-2 70B Chat (1); LLaMA2-70B-CHAT (1); LLaMa2-70B-Chat (1); Llama-2-70b-Chat (1); Llama2 70B Chat (1)
text_davinci_003,75,7,text-davinci-003 (51); GPT-3 (text-davinci-003) (11); Text-Davinci-003 (6); GPT-3.5 (text-davinci-003) (4); InstructGPT (text-davinci-003) (1); InstructGPT-3 + RLHF (text-davinci-003) (1); Text-davinci-003 (1)
gemini_2.0_flash,75,3,Gemini-2.0-Flash (49); Gemini 2.0 Flash (19); Gemini-2.0-flash (7)
qwen_2.5,75,3,Qwen2.5 (41); Qwen-2.5 (26); Qwen 2.5 (8)
llama_3.1,73,9,Llama 3.1 (21); Llama-3.1 (21); LLaMA-3.1 (13); Llama3.1 (8); LLaMA3.1 (4); LLaMA 3.1 (3); LLAMA-3.1 (1); LLAMA3.1 (1); LLama3.1 (1)
dialogpt,73,3,DialoGPT (69); DIALOGPT (3); Recovery (DialoGPT) (1)
llava,73,2,LLaVA (72); Llava (1)
qwen_2.5_14b,72,6,Qwen2.5-14B (53); Qwen-2.5-14B (14); Qwen 2.5 14B (2); QWEN2.5-14B (1); Qwen 2.5 (14B) (1); Qwen2.5-14b (1)
qwen_2_7b_instruct,72,6,Qwen2-7B-Instruct (57); Qwen-2-7B-Instruct (9); Qwen2 7B Instruct (2); Qwen2-7B-instruct (2); Qwen-2-7b-instruct (1); Qwen2-7b-instruct (1)
gemini_1.5_flash,70,5,Gemini-1.5-Flash (42); Gemini 1.5 Flash (17); Gemini-1.5-flash (8); Gemini-1.5 Flash (2); Gemini-1.5-FLASH (1)
