normalized,total_count,num_variants,variants_with_counts
falcon_180b,5,2,Falcon-180B (3); Falcon-180b (2)
flan_t_5_11b,5,2,FLAN-T5-11B (3); Flan-T5-11B (2)
gat,5,2,GAT (4); Graph Attention Network (GAT) (1)
gemma_1.1_7b_it,5,2,Gemma-1.1-7B-it (3); Gemma-1.1-7B-IT (2)
gemma_27b,5,2,Gemma-27B (4); Gemma 27B (1)
gemma_3_12b_it,5,2,Gemma-3-12B-IT (4); gemma-3-12B-it (1)
gpt_4_0314,5,2,GPT-4-0314 (4); gpt-4-0314 (1)
gpt_4_1106,5,2,GPT-4-1106 (4); gpt-4-1106 (1)
janus_pro_7b,5,2,Janus-Pro-7B (4); Janus-Pro 7B (1)
kenlm,5,2,KenLM (4); KENLM (1)
llama_3.2_vision_11b,5,2,Llama-3.2-Vision-11B (4); Llama 3.2-vision-11B (1)
llava_med,5,2,LLaVA-Med (4); LlaVa-Med (1)
longchat_7b_v_1.5_32k,5,2,LongChat-7B-v1.5-32K (4); Longchat-7b-v1.5-32k (1)
lstm_decoder,5,2,LSTM decoder (3); LSTM Decoder (2)
meditron,5,2,Meditron (4); MEDITRON (1)
minicpm_llama_3_v_2.5,5,2,MiniCPM-Llama3-V-2.5 (4); MiniCPM-Llama3-v2.5 (1)
minimax,5,2,MiniMax (3); Minimax (2)
mistral_series,5,2,Mistral series (4); Mistral-series (1)
mt_0_xxl,5,2,mT0-XXL (3); mT0-xxl (2)
mtl,5,2,MTL (3); Multitask Learning (MTL) (2)
opinosis,5,2,Opinosis (3); OPINOSIS (2)
phi_2_2.7b,5,2,Phi-2-2.7B (3); Phi-2 2.7B (2)
proposed_model,5,2,Proposed model (3); Proposed Model (2)
qt,5,2,QT (3); Quantized Transformer (QT) (2)
qwen_1.5_0.5b,5,2,Qwen1.5-0.5B (4); Qwen 1.5 (0.5B) (1)
qwen_1.5_110b_chat,5,2,Qwen1.5-110B-Chat (4); Qwen-1.5-110B-Chat (1)
qwen_2.5_coder_32b_instruct,5,2,Qwen2.5-Coder-32B-Instruct (4); Qwen-2.5-Coder-32B-Instruct (1)
qwen_2.5_instruct_72b,5,2,Qwen2.5-Instruct-72B (4); Qwen2.5-instruct-72B (1)
qwen_2.5_math_1.5b,5,2,Qwen2.5-Math-1.5B (4); Qwen-2.5-Math-1.5B (1)
qwen_2.5_max,5,2,Qwen2.5-Max (3); Qwen 2.5 Max (2)
qwen_2.5vl,5,2,Qwen2.5VL (4); Qwen-2.5VL (1)
qwen_2_audio_instruct,5,2,Qwen2-Audio-Instruct (4); Qwen 2 Audio Instruct (1)
qwen_audio_chat,5,2,Qwen-Audio-Chat (4); Qwen Audio Chat (1)
qwen_turbo,5,2,Qwen-Turbo (3); Qwen-turbo (2)
r_2gen,5,2,R2Gen (3); R2GEN (2)
rnnsearch,5,2,RNNSearch (4); RNNsearch (1)
salmonn_13b,5,2,SALMONN-13B (4); SALMONN-13b (1)
scope,5,2,SCOPE (4); ScoPE (1)
sentence_transformer,5,2,Sentence Transformer (3); Sentence-Transformer (2)
solar_10.7b,5,2,Solar-10.7B (3); Solar 10.7B (2)
starcoder_2_15b,5,2,StarCoder2-15B (4); StarCoder2 15B (1)
tacotron_2,5,2,Tacotron2 (4); Tacotron 2 (1)
text_curie_001,5,2,text-curie-001 (3); GPT-3 (text-curie-001) (2)
text_davinci_001,5,2,text-davinci-001 (4); GPT-3 (text-davinci-001) (1)
towerinstruct_7b,5,2,TowerInstruct-7B (4); TOWERINSTRUCT-7B (1)
vicuna_13b_v_1.5_16k,5,2,Vicuna-13B-v1.5-16k (3); Vicuna-13B-v1.5-16K (2)
vicuna_v_1.5,5,2,Vicuna-v1.5 (4); Vicuna v1.5 (1)
vicuna_v_1.5_7b_16k,5,2,Vicuna-v1.5-7B-16k (4); Vicuna-v1.5-7B-16K (1)
videochat_2,5,2,VideoChat2 (4); VideoChat-2 (1)
xcomet_xl,5,2,xCOMET-XL (3); XCOMET-XL (2)
xglm_2.9b,5,2,XGLM-2.9B (3); XGLM 2.9B (2)
bloomz_560m,4,4,BLOOMZ-560M (1); BLOOMZ-560m (1); Bloomz 560M (1); Bloomz-560M (1)
chat,4,4,Cohere (Chat) (1); LLaMA 2 70B (Chat) (1); MPT-30B (Chat) (1); Mistral-7B (Chat) (1)
ds,4,4,DS (1); Deep Supervision (DS) (1); Differential Scaler (DS) (1); Direct Segmentation (DS) model (1)
gemma_3_4b_it,4,4,Gemma-3-4B-IT (1); Gemma-3-4B-it (1); Gemma3-4B-IT (1); gemma-3-4b-it (1)
gpt_2_ft,4,4,GPT-2 FT (1); GPT-2-FT (1); GPT2-FT (1); GPT2-Ft (1)
l,4,4,Flan-PaLM 2 (L) (1); T(L)-Gen (1); T(L)-Ptr (1); Tower-v2 7B (L) (1)
llama_3.3_instruct_70b,4,4,LLaMA 3.3 Instruct 70B (1); LLaMA-3.3 Instruct (70B) (1); Llama-3.3-Instruct-70B (1); Llama3.3-Instruct-70B (1)
llama_3_llava_next_8b,4,4,LLaMA3-LLaVA-NeXT-8B (1); LLaMA3-LLaVA-Next-8B (1); LLaMA3-LlaVA-NeXT-8B (1); Llama3-LLaVA-NeXT-8B (1)
back_translation,4,3,Back-Translation (2); Back Translation (1); back-translation (1)
bart_large_cnn,4,3,BART-large-cnn (2); BART-Large-CNN (1); BART-large-CNN (1)
command_a,4,3,Command-A (2); COMMAND A (1); Command A (1)
electra_base,4,3,Electra-base (2); ELECTRA-Base (1); ELECTRA-base (1)
fine_tuned,4,3,GPT-2 (fine-tuned) (2); Fine-Tuned (1); Llama2 (fine-tuned) (1)
gemini_1.5_pro_002,4,3,Gemini-1.5-pro-002 (2); Gemini 1.5 Pro 002 (1); Gemini1.5-Pro-002 (1)
gemma_2_27b_instruct,4,3,Gemma2-27B-Instruct (2); Gemma-2-27B-Instruct (1); Gemma2-27B-instruct (1)
llama_2_70b_chat_hf,4,3,Llama-2-70b-chat-hf (2); LLaMA-2-70B-chat-hf (1); llama2-70b-chat-hf (1)
llava_next_video,4,3,LLaVA-Next-Video (2); LLaVA-NEXT-Video (1); LLaVA-NeXT-Video (1)
llemma_34b,4,3,Llemma-34B (2); LLEMMA-34B (1); LLemma-34B (1)
mblip,4,3,mBLIP (2); MBlip (1); mBlip (1)
moonshot_v_1_8k,4,3,moonshot-v1-8k (2); MoonShot-V1-8k (1); Moonshot-v1-8k (1)
nllb_200_distilled_600m,4,3,nllb-200-distilled-600M (2); NLLB-200-Distilled 600M (1); NLLB-200-distilled-600M (1)
olmo_1b,4,3,Olmo-1B (2); OLMo 1B (1); OLMo-1B (1)
olmo_2_1b,4,3,OLMo 2 1B (2); OLMo2-1B (1); Olmo2-1B (1)
openchat_3.5_7b,4,3,OpenChat-3.5-7B (2); OpenChat 3.5 7B (1); OpenChat-3.5-7b (1)
ours,4,3,Ours (2); GPT (ours) (1); OURS (1)
palm_62b,4,3,PaLM 62B (2); PaLM-62B (1); PaLM-62b (1)
qwen_1.5_4b,4,3,Qwen1.5-4B (2); Qwen 1.5 (4B) (1); Qwen1.5 4B (1)
qwen_2.5_coder_14b_instruct,4,3,Qwen2.5-Coder-14B-Instruct (2); Qwen-2.5-Coder-14B-Instruct (1); Qwen2.5-Coder-14B-instruct (1)
qwen_2_math_7b,4,3,Qwen2-Math-7B (2); Qwen-2-Math-7B (1); Qwen2-MATH-7B (1)
rsa,4,3,RSA (2); Rational Speech Act (RSA) model (1); Rational Speech Acts (RSA) model (1)
standard_transformer,4,3,Standard Transformer (2); Baseline 2 (standard transformer) (1); standard Transformer (1)
toolllama_2_7b_v_2,4,3,ToolLLaMA-2-7B-v2 (2); ToolLLaMA-2-7b-v2 (1); ToolLLaMA2-7b-v2 (1)
unilmv_2,4,3,UniLMv2 (2); UNILMV2 (1); UNILMv2 (1)
afribyt_5,4,2,AfriByT5 (3); AfribyT5 (1)
afrimt_5,4,2,AfriMT5 (3); AfrimT5 (1)
berts_2s,4,2,BERTS2S (3); BertS2S (1)
bge_large_en_v_1.5,4,2,bge-large-en-v1.5 (3); BGE-large-en-v1.5 (1)
bigru,4,2,BiGRU (3); biGRU (1)
bloom_1.1b,4,2,BLOOM-1.1B (3); BLOOM (1.1B) (1)
bloomz_3b,4,2,BLOOMZ-3B (2); BLOOMZ-3b (2)
bloomz_7b_1_mt,4,2,BLOOMZ-7B1-MT (2); BLOOMZ-7b1-mt (2)
bst,4,2,BST (3); Style Transfer Through Back-translation (BST) (1)
bst_2.7b,4,2,BST 2.7B (3); Recovery (BST 2.7B) (1)
byt_5_base,4,2,ByT5-base (3); ByT5-Base (1)
chatglm_2_6b_32k,4,2,ChatGLM2-6B-32K (2); ChatGLM2-6B-32k (2)
chinese_bart,4,2,Chinese BART (3); Chinese-BART (1)
claude_instant_1,4,2,Claude-Instant-1 (2); Claude-instant-1 (2)
clip_vit_b_32,4,2,CLIP-ViT-B/32 (3); CLIP ViT-B/32 (1)
code_llama_13b,4,2,Code Llama-13B (3); Code-LLaMA-13B (1)
command_r_plus,4,2,Command-R-Plus (3); Command R Plus (1)
debertav_3_large,4,2,DeBERTaV3-large (3); DeBERTaV3-Large (1)
deepseek_llm_7b_chat,4,2,DeepSeek-LLM-7B-Chat (2); deepseek-llm-7b-chat (2)
deepseek_v_2_lite_chat,4,2,DeepSeek-V2-Lite-Chat (3); Deepseek-V2-Lite-Chat (1)
director,4,2,DIRECTOR (2); Director (2)
drg,4,2,DRG (3); Delete-Retrieve-Generate (DRG) (1)
ernie_bot,4,2,ERNIE Bot (3); ERNIE-Bot (1)
eva,4,2,EVA (3); Emotion Variance Adaptor (EVA) (1)
falcon_3_7b,4,2,Falcon-3-7B (2); Falcon3-7B (2)
flamingo,4,2,Flamingo (3); FLAMINGO (1)
flowseq,4,2,FlowSeq (2); Flowseq (2)
gemini_pro_1.0,4,2,Gemini Pro 1.0 (3); Gemini-Pro 1.0 (1)
genbert,4,2,GenBERT (3); GENBERT (1)
glm_10b,4,2,GLM-10B (3); glm-10b (1)
glm_4_air,4,2,GLM-4-Air (2); GLM-4-air (2)
gps,4,2,GPS (3); Generate-Prune-Select (GPS) (1)
gpt_2_117m,4,2,GPT-2 (117M) (3); GPT-2 117M (1)
gpt_3.5_instruct,4,2,GPT-3.5-instruct (3); GPT-3.5-Instruct (1)
gpt_3_text_davinci_002,4,2,GPT-3 text-davinci-002 (3); GPT-3-text-davinci-002 (1)
gpt_4o_2024_11_20,4,2,GPT-4o-2024-11-20 (3); gpt-4o-2024-11-20 (1)
grit,4,2,GRIT (3); GRiT (1)
grok_3,4,2,Grok-3 (3); Grok 3 (1)
hibert,4,2,HIBERT (2); HiBERT (2)
hubert_large,4,2,HuBERT-Large (3); HuBERT Large (1)
hybrid,4,2,Hybrid (3); Our Model (hybrid) (1)
hyperclova,4,2,HyperCLOVA (3); HyperClova (1)
idefics_2,4,2,Idefics2 (3); IDEFICS2 (1)
instructblip_vicuna_7b,4,2,InstructBLIP-Vicuna-7B (3); InstructBLIP-Vicuna7B (1)
internlm_2_20b,4,2,InternLM2-20B (3); internlm2-20b (1)
internvl_3,4,2,InternVL3 (3); InternVL-3 (1)
kimi_vl_a_3b_thinking,4,2,Kimi-VL-A3B-Thinking (3); Kimi-VL-A3B Thinking (1)
lightconv,4,2,LightConv (3); LIGHTCONV (1)
llama_3_405b,4,2,Llama-3-405B (3); LLaMA-3-405B (1)
llama_4_maverick_17b,4,2,Llama-4-Maverick-17B (3); LLaMA-4-Maverick-17B (1)
llama_8b_instruct,4,2,LLaMA-8B-Instruct (2); Llama-8B-Instruct (2)
llama_omni,4,2,LLaMA-Omni (3); LLaMa-Omni (1)
llava_v_1.6_mistral_7b,4,2,LLaVA-v1.6-Mistral-7B (3); LLaVA-v1.6-mistral-7b (1)
llemma_7b,4,2,Llemma-7B (3); LLemma-7B (1)
log_cad,4,2,LOG-CaD (3); LoG-CAD (1)
longchat,4,2,LongChat (3); Longchat (1)
longt_5_base,4,2,LongT5-Base (2); LongT5-base (2)
macaw,4,2,Macaw (3); MACAW (1)
marian_mt,4,2,Marian MT (2); Marian-MT (2)
mariannmt,4,2,MarianNMT (3); Transformer-base model (MarianNMT) (1)
minerva,4,2,Minerva (3); MINERVA (1)
molmo,4,2,Molmo (3); MOLMO (1)
moss,4,2,MOSS (3); Moss (1)
mt_0_xl,4,2,mT0-XL (3); mT0-xl (1)
nllb_200_1.3b,4,2,NLLB-200 1.3B (2); NLLB-200-1.3B (2)
optimus,4,2,Optimus (3); OPTIMUS (1)
percvae,4,2,PerCVAE (3); PercVAE (1)
phi_3_medium_128k_instruct,4,2,Phi-3-Medium-128K-Instruct (2); Phi-3-medium-128k-instruct (2)
phi_3_mini_3.8b,4,2,Phi-3-Mini-3.8B (2); Phi-3-mini-3.8B (2)
pixtral,4,2,Pixtral (3); PIXTRAL (1)
qwen_2.5_coder_3b,4,2,Qwen2.5-Coder-3B (3); Qwen-2.5-Coder-3B (1)
qwen_2.5_instruct,4,2,Qwen2.5-Instruct (3); Qwen 2.5 Instruct (1)
qwen_vl_plus,4,2,Qwen-VL-Plus (3); Qwen-VL-plus (1)
random,4,2,RANDOM (2); Random (2)
rome,4,2,ROME (3); RoMe (1)
semae,4,2,SemAE (3); Semantic Autoencoder (SemAE) (1)
sentence_transformers,4,2,Sentence Transformers (2); sentence-transformers (2)
simcls,4,2,SimCLS (3); SIMCLS (1)
smt,4,2,SMT (3); Statistical Machine Translation (SMT) (1)
t_0_11b,4,2,T0-11B (3); T0_11B (1)
tapas,4,2,TAPAS (3); TaPas (1)
tk_instruct,4,2,Tk-INSTRUCT (2); Tk-Instruct (2)
towerinstruct_13b,4,2,TowerInstruct-13B (3); TOWERINSTRUCT-13B (1)
trans_2s,4,2,TRANS2S (3); TranS2S (1)
transformerabs,4,2,TransformerABS (2); TransformerAbs (2)
unifiedskg,4,2,UnifiedSKG (3); UNIFIEDSKG (1)
universal_transformer,4,2,Universal Transformer (3); UNIVERSAL TRANSFORMER (1)
vdba,4,2,VDBA (3); Vectorized Dynamic Beam Allocation (VDBA) (1)
wav_2vec_2,4,2,Wav2Vec2 (3); wav2vec2 (1)
wizardmath,4,2,WizardMath (3); WizardMATH (1)
xcomet,4,2,xCOMET (3); XCOMET (1)
xglm_564m,4,2,XGLM 564M (2); XGLM-564M (2)
xglm_7.5b,4,2,XGLM 7.5B (2); XGLM-7.5B (2)
yi_1.5_34b_chat,4,2,Yi-1.5-34B-Chat (3); Yi1.5-34B-Chat (1)
yi_1.5_6b,4,2,Yi-1.5-6B (3); Yi1.5-6B (1)
ae,3,3,AE (1); Auto-Encoder (AE) (1); Auto-encoder (AE) (1)
at,3,3,AST2Seq Transformer (AT) (1); AT (1); Anchored Training (AT) (1)
bart_based,3,3,Dialogue Inpainting Model (BART-based) (1); Proposed autoregressive model (BART-based) (1); perturber (BART-based) (1)
bert_gen,3,3,BERT-GEN (1); BERT-Gen (1); BERT-gen (1)
bloomz_176b,3,3,BLOOMZ 176B (1); BLOOMZ-176B (1); Bloomz-176B (1)
coedit,3,3,COEDIT (1); CoEDIT (1); CoEdIT (1)
curie,3,3,CURIE (1); Curie (1); GPT-3 (curie) (1)
deepseek_coder_6.7b_instruct,3,3,DeepSeek-Coder-6.7B-Instruct (1); Deepseek-coder-6.7b-instruct (1); deepseek-coder-6.7b-instruct (1)
distilroberta_base,3,3,DistilRoBERTa-base (1); distilRoBERTa-base (1); distilroberta-base (1)
doubao_character,3,3,DOUBAO-character (1); Doubao-Character (1); Doubao-character (1)
emu_3,3,3,EMU3 (1); Emu-3 (1); Emu3 (1)
encdec,3,3,ENCDEC (1); EncDec (1); LIU18 (ENCDEC) (1)
fairseq_transformer,3,3,FAIRSEQ Transformer (1); Fairseq Transformer (1); fairseq transformer (1)
gector_roberta,3,3,GECToR RoBERTa (1); GECToR-RoBERTa (1); GECToR-Roberta (1)
gemma_3_1b,3,3,Gemma-3 1B (1); Gemma-3-1B (1); Gemma3-1B (1)
gpt_3_davinci_003,3,3,GPT-3 DaVinci-003 (1); GPT-3 davinci-003 (1); GPT-3-davinci-003 (1)
llama_2_70b_instruct,3,3,LLaMA-2-70B-instruct (1); LLaMA2-70B-Instruct (1); Llama 2 70B Instruct (1)
llama_2_7b_32k,3,3,LLaMA-2-7B-32K (1); LLaMA2-7B-32K (1); LLaMA2-7B-32k (1)
llama_2_7b_hf,3,3,LLaMA-2-7b-hf (1); Llama-2-7B-hf (1); Llama-2-7b-hf (1)
llama_3.1_8b_it,3,3,Llama-3.1-8B-IT (1); Llama-3.1-8B-it (1); Llama3.1-8B-it (1)
llama_3.2_instruct_8b,3,3,LLaMA 3.2 Instruct 8B (1); LLaMA 3.2-Instruct 8B (1); LLaMA-3.2-Instruct-8B (1)
llama_3_8b_chat,3,3,Llama-3-8B-Chat (1); Llama3-8B-Chat (1); Llama3-8B-chat (1)
llava_v_1.6_34b,3,3,LLaVA-v1.6 (34B) (1); LLaVA-v1.6-34b (1); LLaVa-v1.6-34B (1)
llava_v_1.6_7b,3,3,LLaVA-V1.6-7B (1); LLaVA-v1.6 (7B) (1); LLaVA-v1.6-7B (1)
longformer_base,3,3,LongFormer-base (1); Longformer-Base (1); Longformer-base (1)
masked_language_model,3,3,CamemBERT (Masked Language Model) (1); Masked Language Model (1); masked language model (1)
medium,3,3,GPT-2 (medium) (1); M2M-100 (medium) (1); Make-A-Voice (medium) (1)
metamath_mistral_7b,3,3,MetaMATH-Mistral-7B (1); MetaMath-Mistral 7B (1); MetaMath-Mistral-7B (1)
mistral_v_0.1_7b,3,3,Mistral v0.1 (7B) (1); Mistral v0.1 7B (1); Mistral-v0.1-7B (1)
multi_task_learning_model,3,3,Multi-Task Learning model (1); Multi-task learning model (1); multi-task learning model (1)
multi_view_seq_2seq,3,3,Multi-View Seq2Seq (1); Multi-view Seq2Seq (1); Multi-view seq2seq (1)
olmo_2_7b_instruct,3,3,OLMo 2 7B Instruct (1); OLMo-2-7B-Instruct (1); OLMo2-7B-Instruct (1)
online_a,3,3,ONLINE-A (1); Online A (1); Online-A (1)
online_b,3,3,ONLINE-B (1); Online B (1); Online-B (1)
palm_2_l,3,3,PaLM 2-L (1); PaLM-2-L (1); PaLM2-L (1)
phi_3_3.8b,3,3,Phi-3 3.8B (1); Phi-3-3.8B (1); Phi3-3.8B (1)
phi_4_multimodal,3,3,Phi-4 Multimodal (1); Phi-4-Multimodal (1); Phi-4-multimodal (1)
plan_and_write,3,3,Plan and Write (1); Plan-and-Write (1); Plan-and-write (1)
policy_network,3,3,DRRN (policy network) (1); Policy Network (1); policy network (1)
proposed,3,3,CTC (proposed) (1); TSTR (Proposed) (1); Tree Transformer (proposed) (1)
qwen_2.5_72b_chat,3,3,Qwen-2.5-72B-Chat (1); Qwen2.5-72B-Chat (1); Qwen2.5-72b-Chat (1)
qwen_2.5_math_1.5b_instruct,3,3,Qwen-2.5-Math-1.5B-Instruct (1); Qwen2.5-Math-1.5B-Instruct (1); Qwen2.5-math-1.5B-instruct (1)
relation_aware_transformer,3,3,Relation-Aware Transformer (1); Relation-aware Transformer (1); relation-aware transformer (1)
s_1,3,3,S1 (1); Self-Conscious Agent (S1) (1); s1 (1)
stable_diffusion_v_1.5,3,3,Stable Diffusion V1.5 (1); Stable-Diffusion-v1.5 (1); stable-diffusion-v1.5 (1)
tf,3,3,Doubly-att(TF) (1); Enc-att(TF) (1); ObjectAsToken(TF) (1)
tulu_2_13b,3,3,Tulu-2-13B (1); Tulu2-13B (1); tulu2-13b (1)
tulu_2_70b,3,3,Tulu-2-70B (1); Tulu2-70B (1); tulu2-70b (1)
vicuna_v_1.5_13b,3,3,Vicuna v1.5-13B (1); Vicuna-v1.5-13B (1); Vicuna-v1.5-13b (1)
videollama_3,3,3,VideoLLaMA3 (1); VideoLlaMA3 (1); VideoLlama3 (1)
wavlm_large,3,3,WavLM Large (1); WavLM-Large (1); WavLM-large (1)
xlm_r_base,3,3,XLM-R Base (1); XLM-R-Base (1); XLM-R-base (1)
xlm_r_large,3,3,XLM-R Large (1); XLM-R-Large (1); XLM-R-large (1)
acesum,3,2,AceSum (2); ACESUM (1)
adaatt,3,2,ADAATT (2); AdaAtt (1)
aed,3,2,AED (2); Attention-based Encoder-Decoder (AED) (1)
alpaca_2_7b,3,2,Alpaca-2-7B (2); Alpaca2-7B (1)
amber_7b,3,2,Amber-7B (2); Amber 7B (1)
armorm_llama_3_8b_v_0.1,3,2,ArmoRM-Llama-3-8B-v0.1 (2); ArmoRM-Llama3-8B-v0.1 (1)
audioldm_2,3,2,AudioLDM 2 (2); AudioLDM2 (1)
baichuan_7b,3,2,Baichuan-7B (2); BAICHUAN-7B (1)
bakllava,3,2,BakLLaVA (2); BakLlava (1)
bentsao,3,2,BenTsao (2); Bentsao (1)
bert_qa,3,2,BERT-QA (2); BERT_QA (1)
bert_small,3,2,BERT-small (2); BERT-SMALL (1)
bidirectional_lstm,3,2,Bidirectional LSTM (2); Bidirectional-LSTM (1)
blenderbot_2,3,2,BlenderBot 2 (2); BlenderBot2 (1)
blenderbot_3,3,2,BlenderBot3 (2); BlenderBot 3 (1)
blenderbot_small,3,2,BlenderBot-small (2); blenderbot-small (1)
blip_2_flan_t_5_xl,3,2,BLIP2-Flan-T5-XL (2); BLIP-2 Flan-T5-XL (1)
bloom_1.7b,3,2,BLOOM-1.7B (2); BLOOM 1.7B (1)
cae,3,2,CAE (2); Style transfer from non-parallel text by cross alignment (CAE) (1)
camelbert_msa,3,2,CAMeLBERT-MSA (2); CAMeLBERT MSA (1)
chatgpt_4o_latest,3,2,ChatGPT-4o-latest (2); ChatGPT-4o-Latest (1)
claude_3.5_sonnet_20241022,3,2,Claude-3.5-Sonnet-20241022 (2); Claude-3.5-sonnet-20241022 (1)
claude_3_5_sonnet,3,2,claude-3-5-sonnet (2); Claude-3-5-sonnet (1)
claude_3_sonnet_20240229,3,2,Claude-3-Sonnet-20240229 (2); Claude-3-sonnet-20240229 (1)
claude_opus,3,2,Claude Opus (2); Claude-Opus (1)
claude_v_1,3,2,Claude-v1 (2); Claude-V1 (1)
claude_v_1.3,3,2,Claude-v1.3 (2); Claude V1.3 (1)
codegen_mono_6b,3,2,CodeGen-mono-6B (2); CODEGEN-MONO-6B (1)
coop,3,2,COOP (2); Coop (1)
copy_mechanism,3,2,Copy Mechanism (2); Copy mechanism (1)
cosyvoice_2,3,2,CosyVoice 2 (2); CosyVoice2 (1)
dba,3,2,Dynamic Beam Allocation (DBA) (2); DBA (1)
decoder_only_transformer,3,2,decoder-only transformer (2); Decoder-Only Transformer (1)
deductreasoner,3,2,DeductReasoner (2); DEDUCTREASONER (1)
deepseek_coder_33b_instruct,3,2,DeepSeek-Coder-33B-Instruct (2); deepseek-coder-33b-instruct (1)
deepseek_coder_v_2_lite,3,2,DeepSeek-Coder-V2-Lite (2); DeepSeek-Coder-v2-Lite (1)
deepseek_moe,3,2,DeepSeek-MoE (2); Deepseek-MoE (1)
deepseek_r_1_70b,3,2,DeepSeek-R1 70B (2); DeepSeek-R1-70B (1)
deepseek_vl_7b_chat,3,2,DeepSeek-VL-7B-Chat (2); Deepseek-VL-7B-Chat (1)
disco,3,2,Disco (2); DisCo (1)
distilbert_base_uncased,3,2,DistilBERT-base-uncased (2); distilbert-base-uncased (1)
doct_5query,3,2,DocT5Query (2); docT5query (1)
dolly_v_2_3b,3,2,Dolly-v2-3B (2); dolly-v2-3b (1)
doubao_pro_32k,3,2,Doubao-pro-32k (2); Doubao-Pro-32k (1)
dualenc,3,2,DualEnc (2); DUALENC (1)
ecm,3,2,ECM (2); Emotional Chatting Machine (ECM) (1)
edatt,3,2,EDATT (2); EDAtt (1)
elmo,3,2,ELMo (2); ELMO (1)
eurollm_1.7b,3,2,EuroLLM-1.7B (2); EuroLLM 1.7B (1)
factpegasus,3,2,FactPegasus (2); FACTPEGASUS (1)
falcon_instruct,3,2,Falcon-Instruct (2); Falcon instruct (1)
fastrl,3,2,FastRL (2); FASTRL (1)
fewsum,3,2,FewSum (2); FEWSUM (1)
fine_tuning,3,2,Fine-tuning (2); Fine-Tuning (1)
flan_t_5_3b,3,2,Flan-T5-3B (2); FLAN-T5-3B (1)
gec_depend,3,2,GEC-DePend (2); GEC-DePenD (1)
gemini_flash,3,2,Gemini-Flash (2); Gemini Flash (1)
gemini_ultra,3,2,Gemini Ultra (2); Gemini-Ultra (1)
gen_2oie,3,2,GEN2OIE (2); Gen2OIE (1)
glosslm,3,2,GlossLM (2); GLOSSLM (1)
godel_large,3,2,GODEL-large (2); Godel-Large (1)
gpt_2_124m,3,2,GPT-2 (124M) (2); GPT-2-124M (1)
gpt_3_6.7b,3,2,GPT-3 (6.7B) (2); GPT-3-6.7B (1)
gpt_4_mini,3,2,GPT-4-mini (2); GPT-4 mini (1)
gpt_4_o,3,2,GPT-4-o (2); GPT-4-O (1)
gpt_5_mini,3,2,GPT-5-Mini (2); GPT-5-mini (1)
gpt_o_1_preview,3,2,GPT-o1-preview (2); GPT-o1-Preview (1)
grappa,3,2,GRAPPA (2); GraPPa (1)
grounding_dino,3,2,Grounding DINO (2); Grounding-DINO (1)
hepos,3,2,HEPOS (2); Hepos (1)
hercules,3,2,Hercules (2); HERCULES (1)
ibm_granite,3,2,IBM Granite (2); IBM-Granite (1)
infersent,3,2,InferSent (2); INFERSENT (1)
internvl_2_2b,3,2,InternVL2-2B (2); InternVL2-2b (1)
internvl_3_78b,3,2,InternVL3-78B (2); InternVL3 78B (1)
kat,3,2,KAT (2); Knowledge-Aware Transformer (KAT) (1)
kb_retriever,3,2,KB-retriever (2); KB-Retriever (1)
koala_13b,3,2,Koala-13b (2); Koala-13B (1)
language_adapters,3,2,Language Adapters (2); language adapters (1)
lasertagger,3,2,LASERTAGGER (2); LaserTagger (1)
lattice,3,2,LATTICE (2); Lattice (1)
led_large,3,2,LED-large (2); LED-Large (1)
llama_1_13b,3,2,Llama-1-13B (2); LLaMA-1-13B (1)
llama_3.1_8b_base,3,2,Llama-3.1-8B-Base (2); LLaMA-3.1-8B-Base (1)
llama_3.2_vision_instruct,3,2,Llama-3.2-Vision-Instruct (2); Llama3.2-Vision-Instruct (1)
llama_3_8b_it,3,2,Llama-3-8B-it (2); Llama-3-8b-it (1)
llama_405b,3,2,LLaMA-405B (2); Llama-405B (1)
llama_4_scout,3,2,Llama4-Scout (2); Llama4 Scout (1)
llama_4_scout_17b,3,2,Llama-4-Scout-17B (2); Llama-4-scout-17B (1)
llama_series,3,2,Llama series (2); LLaMA series (1)
llava_1.6_mistral_7b,3,2,LLaVA-1.6-Mistral-7B (2); LLaVA-1.6-mistral-7B (1)
llava_1.6_vicuna_13b,3,2,LLaVA-1.6-Vicuna-13B (2); LLaVA-1.6-vicuna-13B (1)
llava_1.6_vicuna_7b,3,2,LLaVA-1.6-Vicuna-7B (2); LLaVA-1.6-vicuna-7B (1)
llava_med_1.5,3,2,LLaVA-Med-1.5 (2); LLaVA-Med1.5 (1)
llava_next_interleave,3,2,LLaVA-NeXT-Interleave (2); LLaVA-Next-Interleave (1)
mamba_2.8b,3,2,Mamba-2.8B (2); Mamba-2.8b (1)
marco,3,2,MARCO (2); Marco (1)
mdeberta_v_3,3,2,mDeBERTa v3 (2); mDeBERTa-v3 (1)
meta_llama_3,3,2,Meta-Llama-3 (2); Meta Llama3 (1)
meta_llama_3.1_8b,3,2,META-LLAMA-3.1-8B (2); Meta-Llama-3.1-8B (1)
minicpm_3_4b,3,2,MiniCPM3-4B (2); MiniCPM-3-4B (1)
mistral_12b,3,2,Mistral-12B (2); Mistral12b (1)
mistral_nemo_instruct,3,2,Mistral-Nemo-Instruct (2); Mistral-NeMo-Instruct (1)
